85745,85024,49163
49701,97021,69974
86108,44672,12611
97857,40198,46149
85447,51581,23591
49266,93396,26631
81670,83939,13358
84820,38718,56611
58890,76582,41171
34179,63666,10776
79802,63910,6319
31026,22961,51059
98828,85501,19710
84448,55650,16999
77672,96361,37323
17805,99487,17520
16142,81573,83031
80696,46143,85936
83372,91566,71701
75491,73510,15905
72610,6841,71331
85170,95694,14313
62209,44255,48636
56726,939,15793
48531,88931,29192
34368,1068,44936
71659,74537,94611
27101,47095,11274
92872,24449,41518
76713,99198,65511
77032,18541,1643
81804,78613,92610
30285,78011,95649
94118,14262,86867
98138,20639,95733
19717,7643,78366
79577,98530,79284
65885,91738,89021
57129,62655,14528
16341,35833,91115
25125,79976,75983
30026,3413,39985
9249,14414,98996
95986,97558,35543
64849,48676,63732
37866,18975,22476
20193,23344,86471
40697,88955,5112
85534,10932,26468
79778,43504,79713
58117,2059,86884
9669,51398,77640
24125,78951,46432
34711,96382,87664
45573,75148,81845
16889,88383,40791
8670,37004,97701
95183,23182,18896
40744,17743,19467
6735,65124,25209
17439,58054,22868
78674,65470,16365
10552,46369,84731
25386,25677,79956
92755,20746,58602
21460,78182,94812
16495,99425,14836
49765,66706,45783
26751,61378,18085
82543,54799,26048
51490,92325,46246
62642,7191,15333
39860,71783,23981
63276,57829,2595
60363,27578,31242
51810,64805,93604
75656,85059,73027
77505,27458,64284
13992,39193,38320
29262,91494,20049
74872,82504,59103
22021,62347,84106
27034,14798,55844
71916,80095,97902
90253,79655,66123
86884,1804,54809
49657,58516,90518
54415,51651,14277
96302,71922,93730
78763,42339,75250
86116,78356,91352
94940,88505,72924
4115,23113,99754
81154,59324,76757
7359,28671,21384
52207,34049,2247
42201,87450,34089
46669,77265,42851
14225,41052,40185
73051,27210,25317
26462,58994,23092
66186,2419,91475
54164,95130,82507
90198,43005,72494
44053,25414,14046
25317,47146,4880
2726,28534,15914
45479,32705,96310
80624,66681,51598
82532,95691,98610
45125,56328,12156
69088,84761,83206
52912,26485,76488
57450,80919,24740
59962,63369,63839
76614,95589,97321
79720,5364,79099
28830,17016,54833
42079,76225,45761
65848,55751,92895
55354,82059,22466
16121,6011,1717
53695,97624,46440
60458,28905,78176
38226,83075,60867
67013,59189,24604
59493,58375,52952
80121,58172,44398
52001,51712,9131
37002,36667,45361
53253,76646,45277
31721,55969,7087
21751,45928,75548
21043,59423,52755
90032,9363,65033
45749,70908,67326
48418,40434,17828
56845,23466,21742
91518,86928,48563
516,29577,40827
12770,60869,50055
44238,92219,53513
34152,71908,22949
25564,95746,30582
7107,17245,50912
24619,43132,93912
74423,10628,33205
88638,97306,22262
17483,77927,54635
3039,41331,99683
26462,19784,13734
98378,37606,52453
30127,74069,49928
16811,36447,47818
20000,88266,11515
90842,27338,60427
58158,4856,45430
7170,68602,69302
16935,77827,73340
72131,63124,61043
84551,25429,58768
12674,2472,98102
10305,79552,96118
14260,5798,25818
86479,8440,48642
7682,21371,64929
27247,60963,15448
16688,14493,92422
47502,35518,83242
68927,29716,5829
87690,9995,41730
63352,10104,30353
16353,72465,44270
85195,65929,63085
61616,16033,99490
3578,34804,17890
33957,29670,23201
76443,89101,12148
21906,98120,49549
36242,53091,57670
9552,92432,17982
60981,2225,77952
7465,99581,76621
68232,87445,5116
78801,1981,74941
83925,29672,98264
16408,74616,68934
81218,79937,64981
54254,71566,7214
83077,4512,34529
14061,33437,49687
72846,25246,40696
74787,70028,20081
35389,6013,22791
11031,30568,1830
29499,83959,92644
55188,1544,71994
68698,44118,41811
87002,47961,52539
44960,85056,73762
20106,51164,32413
89440,26189,62662
73824,67270,8070
71970,88337,91958
4572,64567,72244
22544,83764,36384
82987,50338,95109
98233,50378,81803
3199,42755,46463
68932,40764,93273
57341,64650,24272
83688,18635,15318
25387,80995,31467
98370,88066,30940
32774,42021,33681
7586,38402,10746
48260,81041,40558
29492,97055,87333
24126,39410,45422
20304,65694,6007
72787,48756,11747
28327,71900,50803
60561,55715,10616
10960,28481,1566
62527,29945,93160
34772,58285,90168
22344,27332,76583
15394,10075,77289
45528,77071,16872
11053,7224,74428
5246,87789,64592
44480,56550,85366
66016,12184,74069
84909,34653,41787
15702,96954,42309
96799,47657,82300
97323,7775,79169
25423,29772,11130
83053,66975,40962
86591,54449,7837
45806,40469,31789
62806,92574,63005
41786,83977,43416
13661,21360,47431
47866,42585,71300
22063,29693,50980
62045,24529,32361
89982,14315,32381
60245,36342,34935
40246,99465,4282
89863,27216,74685
23691,26136,72462
75021,54176,16734
39403,74752,7816
46810,14709,52064
17735,6409,69003
23644,38369,19040
22678,24426,71606
52947,87845,62868
32558,13485,90646
23275,52745,52084
95040,1176,46723
96346,77506,86806
72065,73728,83099
29079,99946,80406
7730,50041,93929
19580,43906,52029
3889,77680,31241
89050,7965,20701
16542,15476,42161
19758,37994,91903
10406,68666,54858
15836,59881,45902
88015,57274,81052
28307,71670,52843
69439,58757,35716
40839,88857,50078
98603,80792,52028
12800,98473,79511
84277,85725,85850
58836,36195,31658
43804,24002,39761
12201,54499,83863
64399,46967,46895
1340,81054,85675
5578,13337,16520
13683,812,10699
11517,79989,84598
50070,45258,84570
45402,28278,69212
12076,98145,66079
92573,20057,17745
59914,72272,20599
